Frequency (Hz),Level (dB),Frequency (kHz)
18733.886719,-94.507835,18.733886719
18776.953125,-94.572495,18.776953125
18820.019531,-94.518341,18.820019531
18863.085938,-92.817909,18.863085938
18906.152344,-90.030914,18.906152344
18949.21875,-92.44912,18.94921875
18992.285156,-94.778648,18.992285156
19035.351562,-94.579468,19.035351562
19078.417969,-94.42923,19.078417969
19121.484375,-94.177483,19.121484375
19164.550781,-93.807526,19.164550781
19207.617188,-93.841896,19.207617188
19250.683594,-94.675583,19.250683594
19293.75,-94.821594,19.29375
19336.816406,-93.947617,19.336816406
19379.882812,-94.411888,19.379882812
19422.949219,-94.885338,19.422949219
19466.015625,-94.331787,19.466015625
19509.082031,-94.635643,19.509082031
19552.148438,-94.493401,19.552148438
19595.214844,-94.214279,19.595214844
19638.28125,-95.018623,19.63828125
19681.347656,-94.722008,19.681347656
19724.414062,-94.952339,19.724414062
19767.480469,-94.657196,19.767480469
19810.546875,-94.784889,19.810546875
19853.613281,-94.791283,19.853613281
19896.679688,-94.611961,19.896679688
19939.746094,-95.040665,19.939746094
19982.8125,-94.783089,19.9828125
20025.878906,-94.333046,20.025878906
20068.945312,-94.590973,20.068945312
20112.011719,-94.147964,20.112011719
20155.078125,-94.605217,20.155078125
20198.144531,-94.61499,20.198144531
20241.210938,-94.769867,20.241210938
20284.277344,-94.520454,20.284277344
20327.34375,-94.508942,20.32734375
20370.410156,-94.283035,20.370410156
20413.476562,-94.026604,20.413476562
20456.542969,-94.346931,20.456542969
20499.609375,-93.940193,20.499609375
20542.675781,-93.957176,20.542675781
20585.742188,-93.860664,20.585742188
20628.808594,-93.558884,20.628808594
20671.875,-94.092262,20.671875
20714.941406,-93.997665,20.714941406
20758.007812,-93.950203,20.758007812
20801.074219,-94.725151,20.801074219
20844.140625,-95.005966,20.844140625
20887.207031,-93.294807,20.887207031
20930.273438,-93.857964,20.930273438
20973.339844,-94.858192,20.973339844
21016.40625,-95.079926,21.01640625
21059.472656,-95.573723,21.059472656
21102.539062,-95.400444,21.102539062
21145.605469,-96.078224,21.145605469
21188.671875,-95.401215,21.188671875
21231.738281,-95.468018,21.231738281
21274.804688,-95.585449,21.274804688
21317.871094,-95.956245,21.317871094
21360.9375,-95.779694,21.3609375
21404.003906,-95.914932,21.404003906
21447.070312,-95.805923,21.447070312
21490.136719,-95.379799,21.490136719
21533.203125,-95.824371,21.533203125
21576.269531,-95.342049,21.576269531
21619.335938,-96.003754,21.619335938
21662.402344,-96.061142,21.662402344
21705.46875,-95.57016,21.70546875
21748.535156,-95.582413,21.748535156
21791.601562,-95.458733,21.791601562
21834.667969,-95.466774,21.834667969
21877.734375,-95.498878,21.877734375
21920.800781,-95.820984,21.920800781
21963.867188,-95.641434,21.963867188
22006.933594,-96.232216,22.006933594
